car_position/0,car_position/1,car_direction/0,car_direction/1,V_x,V_y,V_T
20.80024719,9.744415283,-0.632398306,-0.77464339,408.2698822,16.65771494,408.6095645
20.00515747,8.837692261,-0.666934073,-0.74511673,395.9997863,18.13446044,396.4147947
19.17114258,7.925323486,-0.676412969,-0.736522569,380.9320068,18.2473755,381.3687986
18.31813049,6.986557007,-0.67271407,-0.739902548,365.1047211,18.77532958,365.5871584
17.47883606,6.002151489,-0.64642526,-0.762977315,348.8837737,19.68811036,349.4388491
16.72146606,4.959228516,-0.576891663,-0.816820671,332.8552551,20.85845946,333.5081651
16.08963013,3.863113403,-0.4753323,-0.879806345,318.3396911,21.92230226,319.0936324
15.5574646,2.610107422,-0.346048886,-0.938216483,306.235138,25.06011962,307.2587986
15.24645996,1.563064575,-0.24432123,-0.969694352,295.902832,20.94085694,296.6428922
15.02096558,0.390975952,-0.153500106,-0.988148631,289.9082336,23.44177246,290.854432
14.91760254,-0.778869629,-0.069199679,-0.997602829,285.5017091,23.39691162,286.4587952
14.92770386,-1.935592651,0.018911816,-0.999821156,283.4243469,23.13446044,284.3669525
15.03144836,-3.046768188,0.099726245,-0.995014913,283.5226288,22.22351074,284.392274
15.22607422,-4.096313477,0.184845516,-0.98276759,285.402893,20.99090578,286.1737749
15.52861023,-5.101226807,0.284405495,-0.958704081,288.9928742,20.0982666,289.6909071
15.94210815,-6.046112061,0.393868325,-0.919166874,294.6300965,18.89770508,295.235528
16.46826172,-6.908416748,0.513027099,-0.858372411,302.3739013,17.24609374,302.8653231
17.09941101,-7.666671753,0.633177375,-0.774006726,312.2658234,15.1651001,312.6338509
17.82017517,-8.303421021,0.744464587,-0.66766195,324.168045,12.73498536,324.4180964
18.61022949,-8.805496216,0.83913643,-0.543920999,337.7932739,10.0415039,337.9424917
19.44664001,-9.163314819,0.91343718,-0.406979751,352.7579498,7.15637206,352.8305327
20.30769348,-9.373458862,0.965585081,-0.260087391,368.6251067,4.20288086,368.6490655
